trial_number,trial_id,actor_id,target_emotion,target_image_path,mask_image_path,repetition
1,T001,09F,neutral,resources/NimStim_ER/09F_NE_C_MIRROR.BMP,resources/NimStim_ER/09F_NE_C.BMP,1
2,T002,37M,fearful,resources/NimStim_ER/37M_FE_C.BMP,resources/NimStim_ER/37M_NE_C.BMP,1
3,T003,18F,happy,resources/NimStim_ER/18F_HA_C.BMP,resources/NimStim_ER/18F_NE_C.BMP,1
4,T004,13F,angry,resources/NimStim_ER/13F_AN_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,1
5,T005,39M,neutral,resources/NimStim_ER/39M_NE_C_MIRROR.BMP,resources/NimStim_ER/39M_NE_C.BMP,1
6,T006,40M,happy,resources/NimStim_ER/40M_HA_C.BMP,resources/NimStim_ER/40M_NE_C.BMP,1
7,T007,34M,angry,resources/NimStim_ER/34M_AN_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,2
8,T008,01F,fearful,resources/NimStim_ER/01F_FE_C.BMP,resources/NimStim_ER/01F_NE_C.BMP,1
9,T009,32M,fearful,resources/NimStim_ER/32M_FE_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,2
10,T010,07F,happy,resources/NimStim_ER/07F_HA_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,1
11,T011,40M,neutral,resources/NimStim_ER/40M_NE_C_MIRROR.BMP,resources/NimStim_ER/40M_NE_C.BMP,2
12,T012,32M,angry,resources/NimStim_ER/32M_AN_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,1
13,T013,34M,fearful,resources/NimStim_ER/34M_FE_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,2
14,T014,39M,angry,resources/NimStim_ER/39M_AN_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,1
15,T015,07F,happy,resources/NimStim_ER/07F_HA_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,2
16,T016,37M,neutral,resources/NimStim_ER/37M_NE_C_MIRROR.BMP,resources/NimStim_ER/37M_NE_C.BMP,1
17,T017,13F,happy,resources/NimStim_ER/13F_HA_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,1
18,T018,09F,angry,resources/NimStim_ER/09F_AN_C.BMP,resources/NimStim_ER/09F_NE_C.BMP,1
19,T019,18F,neutral,resources/NimStim_ER/18F_NE_C_MIRROR.BMP,resources/NimStim_ER/18F_NE_C.BMP,1
20,T020,01F,fearful,resources/NimStim_ER/01F_FE_C.BMP,resources/NimStim_ER/01F_NE_C.BMP,2
21,T021,32M,angry,resources/NimStim_ER/32M_AN_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,2
22,T022,39M,happy,resources/NimStim_ER/39M_HA_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,2
23,T023,13F,fearful,resources/NimStim_ER/13F_FE_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,2
24,T024,34M,neutral,resources/NimStim_ER/34M_NE_C_MIRROR.BMP,resources/NimStim_ER/34M_NE_C.BMP,1
25,T025,01F,neutral,resources/NimStim_ER/01F_NE_C_MIRROR.BMP,resources/NimStim_ER/01F_NE_C.BMP,1
26,T026,37M,fearful,resources/NimStim_ER/37M_FE_C.BMP,resources/NimStim_ER/37M_NE_C.BMP,2
27,T027,07F,angry,resources/NimStim_ER/07F_AN_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,1
28,T028,09F,happy,resources/NimStim_ER/09F_HA_C.BMP,resources/NimStim_ER/09F_NE_C.BMP,1
29,T029,40M,angry,resources/NimStim_ER/40M_AN_C.BMP,resources/NimStim_ER/40M_NE_C.BMP,1
30,T030,18F,happy,resources/NimStim_ER/18F_HA_C.BMP,resources/NimStim_ER/18F_NE_C.BMP,2
31,T031,37M,neutral,resources/NimStim_ER/37M_NE_C_MIRROR.BMP,resources/NimStim_ER/37M_NE_C.BMP,2
32,T032,09F,fearful,resources/NimStim_ER/09F_FE_C.BMP,resources/NimStim_ER/09F_NE_C.BMP,1
33,T033,39M,neutral,resources/NimStim_ER/39M_NE_C_MIRROR.BMP,resources/NimStim_ER/39M_NE_C.BMP,2
34,T034,01F,happy,resources/NimStim_ER/01F_HA_C.BMP,resources/NimStim_ER/01F_NE_C.BMP,1
35,T035,07F,fearful,resources/NimStim_ER/07F_FE_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,1
36,T036,18F,angry,resources/NimStim_ER/18F_AN_C.BMP,resources/NimStim_ER/18F_NE_C.BMP,1
37,T037,40M,happy,resources/NimStim_ER/40M_HA_C.BMP,resources/NimStim_ER/40M_NE_C.BMP,2
38,T038,32M,neutral,resources/NimStim_ER/32M_NE_C_MIRROR.BMP,resources/NimStim_ER/32M_NE_C.BMP,1
39,T039,34M,fearful,resources/NimStim_ER/34M_FE_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,1
40,T040,13F,angry,resources/NimStim_ER/13F_AN_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,2
41,T041,39M,fearful,resources/NimStim_ER/39M_FE_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,2
42,T042,40M,neutral,resources/NimStim_ER/40M_NE_C_MIRROR.BMP,resources/NimStim_ER/40M_NE_C.BMP,1
43,T043,01F,happy,resources/NimStim_ER/01F_HA_C.BMP,resources/NimStim_ER/01F_NE_C.BMP,2
44,T044,37M,angry,resources/NimStim_ER/37M_AN_C.BMP,resources/NimStim_ER/37M_NE_C.BMP,1
45,T045,09F,fearful,resources/NimStim_ER/09F_FE_C.BMP,resources/NimStim_ER/09F_NE_C.BMP,2
46,T046,13F,happy,resources/NimStim_ER/13F_HA_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,2
47,T047,07F,neutral,resources/NimStim_ER/07F_NE_C_MIRROR.BMP,resources/NimStim_ER/07F_NE_C.BMP,2
48,T048,34M,angry,resources/NimStim_ER/34M_AN_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,1
49,T049,18F,fearful,resources/NimStim_ER/18F_FE_C.BMP,resources/NimStim_ER/18F_NE_C.BMP,2
50,T050,32M,happy,resources/NimStim_ER/32M_HA_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,2
51,T051,39M,angry,resources/NimStim_ER/39M_AN_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,2
52,T052,18F,neutral,resources/NimStim_ER/18F_NE_C_MIRROR.BMP,resources/NimStim_ER/18F_NE_C.BMP,2
53,T053,01F,angry,resources/NimStim_ER/01f_an_c.BMP,resources/NimStim_ER/01F_NE_C.BMP,1
54,T054,37M,happy,resources/NimStim_ER/37M_HA_C.BMP,resources/NimStim_ER/37M_NE_C.BMP,1
55,T055,09F,neutral,resources/NimStim_ER/09F_NE_C_MIRROR.BMP,resources/NimStim_ER/09F_NE_C.BMP,2
56,T056,07F,fearful,resources/NimStim_ER/07F_FE_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,2
57,T057,34M,happy,resources/NimStim_ER/34M_HA_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,1
58,T058,13F,fearful,resources/NimStim_ER/13F_FE_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,1
59,T059,32M,neutral,resources/NimStim_ER/32M_NE_C_MIRROR.BMP,resources/NimStim_ER/32M_NE_C.BMP,2
60,T060,40M,angry,resources/NimStim_ER/40M_AN_C.BMP,resources/NimStim_ER/40M_NE_C.BMP,2
61,T061,37M,angry,resources/NimStim_ER/37M_AN_C.BMP,resources/NimStim_ER/37M_NE_C.BMP,2
62,T062,34M,neutral,resources/NimStim_ER/34M_NE_C_MIRROR.BMP,resources/NimStim_ER/34M_NE_C.BMP,2
63,T063,32M,happy,resources/NimStim_ER/32M_HA_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,1
64,T064,40M,fearful,resources/NimStim_ER/40M_FE_C.BMP,resources/NimStim_ER/40M_NE_C.BMP,1
65,T065,09F,angry,resources/NimStim_ER/09F_AN_C.BMP,resources/NimStim_ER/09F_NE_C.BMP,2
66,T066,13F,neutral,resources/NimStim_ER/13F_NE_C_MIRROR.BMP,resources/NimStim_ER/13F_NE_C.BMP,2
67,T067,39M,happy,resources/NimStim_ER/39M_HA_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,1
68,T068,18F,fearful,resources/NimStim_ER/18F_FE_C.BMP,resources/NimStim_ER/18F_NE_C.BMP,1
69,T069,07F,angry,resources/NimStim_ER/07F_AN_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,2
70,T070,01F,neutral,resources/NimStim_ER/01F_NE_C_MIRROR.BMP,resources/NimStim_ER/01F_NE_C.BMP,2
71,T071,32M,fearful,resources/NimStim_ER/32M_FE_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,1
72,T072,09F,happy,resources/NimStim_ER/09F_HA_C.BMP,resources/NimStim_ER/09F_NE_C.BMP,2
73,T073,18F,angry,resources/NimStim_ER/18F_AN_C.BMP,resources/NimStim_ER/18F_NE_C.BMP,2
74,T074,07F,neutral,resources/NimStim_ER/07F_NE_C_MIRROR.BMP,resources/NimStim_ER/07F_NE_C.BMP,1
75,T075,34M,happy,resources/NimStim_ER/34M_HA_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,2
76,T076,39M,fearful,resources/NimStim_ER/39M_FE_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,1
77,T077,13F,neutral,resources/NimStim_ER/13F_NE_C_MIRROR.BMP,resources/NimStim_ER/13F_NE_C.BMP,1
78,T078,01F,angry,resources/NimStim_ER/01f_an_c.BMP,resources/NimStim_ER/01F_NE_C.BMP,2
79,T079,40M,fearful,resources/NimStim_ER/40M_FE_C.BMP,resources/NimStim_ER/40M_NE_C.BMP,2
80,T080,37M,happy,resources/NimStim_ER/37M_HA_C.BMP,resources/NimStim_ER/37M_NE_C.BMP,2
